Model,OS,Chipset,CPU,GPU,Ram/ROM,Battery
Asus Zenfone 6 ZS630KL,"Android 9.0 (Pie), ZenUI 6",Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,"64GB 6GB RAM, 128GB 6GB RAM, 256GB 8GB RAM",Non-removable Li-Po 5000 mAh battery
Asus ZenFone Live (L2),Android 8.0 Oreo (Go edition); ZenUI 5,Qualcomm MSM8917 Snapdragon 425 (28 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm),Quad-core 1.4 GHz Cortex-A53Octa-core 1.4 GHz Cortex-A53,Adreno 308Adreno 505,"16GB 2GB RAM, 32GB 2GB RAM",Non-removable Li-Ion 3000 mAh battery
Asus Zenfone Max Plus (M2) ZB634KL,Android 8.0 (Oreo),Qualcomm Snapdragon SiP 1,Octa-core 1.8 GHz,Adreno 506,32GB 3GB RAM,Non-removable Li-Po 4000 mAh battery
Asus Zenfone Max Shot ZB634KL,Android 8.0 (Oreo),Qualcomm Snapdragon SiP 1,Octa-core 1.8 GHz,Adreno 506,64GB 4GB RAM,Non-removable Li-Po 4000 mAh battery
alcatel 3x (2019),Android 9.0 (Pie),Mediatek MT6763V Helio P23 (16 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Mali-G71 MP2,64GB 4GB RAM,Non-removable Li-Po 4000 mAh battery
alcatel 1v (2019),Android 9.0 Pie (Go edition),Unisoc SC9863A (28nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,16GB 1GB RAM,Removable Li-Ion 2460 mAh battery
alcatel Smart Tab 7,Android 9.0 (Pie),Mediatek MT8167D,Quad-core 1.3 GHz Cortex-A53,IMG GE8300,16GB 1.5GB RAM,Non-removable Li-Ion 2580 mAh battery
ZTE nubia Red Magic 3s,Android 9.0 (Pie); Redmagic 2.0,Qualcomm SDM855 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485),Adreno 640 (700 MHz),"128GB 8GB RAM, 256GB 12GB RAM",Non-removable Li-Po 5000 mAh battery
ZTE nubia Z20,Android 9.0 (Pie); Nubia UI 7,Qualcomm SDM855 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),"128GB 6GB RAM, 128GB 8GB RAM, 512GB 8GB RAM",Non-removable Li-Po 4000 mAh battery
ZTE Blade A5 (2019),Android 9.0 (Pie),Unisoc SC9863A (28nm),Octa-core 1.6 GHz,16GB 2GB RAM,Non-removable Li-Ion 2600 mAh battery,
